day,facility_id,supplier_id,latitude,longitude,demand,expected_demand,replenishment,stock_before_demand,inventory,estimated_days_of_stock,supplier_disrupted,stockout,lag_1,lag_7,day_of_week,month,trend,predicted_demand,prediction_lower,prediction_upper,forecast_confidence
29,F04,S01,20.708072577796045,77.0205844942958,12,13.11,0,57.0,45.0,3.43,False,False,11.0,13.0,0,1,0.9666666666666667,13.098502417942333,10.805655381000218,15.391349454884448,0.7065822666292949
30,F04,S01,20.708072577796045,77.0205844942958,14,13.11,0,45.0,31.0,2.36,False,False,12.0,15.0,1,1,1.0,12.864980488356911,10.572133451414796,15.157827525299027,0.7065822666292949
24,F05,S02,20.721998772266826,77.93855270901575,8,8.65,0,16.0,8.0,0.92,False,False,9.0,8.0,2,1,0.8,9.412473834293928,7.119626797351813,11.705320871236044,0.7065822666292949
25,F05,S02,20.721998772266826,77.93855270901575,9,8.65,43,51.0,42.0,4.85,False,False,8.0,8.0,3,1,0.8333333333333334,9.17996875416787,6.887121717225755,11.472815791109985,0.7065822666292949
26,F05,S02,20.721998772266826,77.93855270901575,10,8.65,0,42.0,32.0,3.7,False,False,9.0,9.0,4,1,0.8666666666666667,10.04778134692001,7.7549343099778945,12.340628383862125,0.7065822666292949
27,F05,S02,20.721998772266826,77.93855270901575,5,7.36,0,32.0,27.0,3.67,False,False,10.0,6.0,5,1,0.9,8.596166865704152,6.303319828762037,10.889013902646267,0.7065822666292949
28,F05,S02,20.721998772266826,77.93855270901575,8,7.36,0,27.0,19.0,2.58,False,False,5.0,7.0,6,1,0.9333333333333333,5.922270615335704,3.6294235783935895,8.215117652277819,0.7065822666292949
29,F05,S02,20.721998772266826,77.93855270901575,7,8.65,0,19.0,12.0,1.39,False,False,8.0,8.0,0,1,0.9666666666666667,9.088688685306897,6.795841648364782,11.381535722249012,0.7065822666292949
30,F05,S02,20.721998772266826,77.93855270901575,7,8.65,43,55.0,48.0,5.55,False,False,7.0,9.0,1,1,1.0,7.76071112268968,5.467864085747566,10.053558159631795,0.7065822666292949
24,F06,S03,20.1818249672071,77.18340450985343,12,12.16,25,157.0,145.0,11.93,False,False,14.0,14.0,2,1,0.8,11.690018303209115,9.397171266267,13.98286534015123,0.7065822666292949
25,F06,S03,20.1818249672071,77.18340450985343,8,12.16,0,145.0,137.0,11.27,False,False,12.0,9.0,3,1,0.8333333333333334,11.937646551139933,9.644799514197818,14.230493588082048,0.7065822666292949
26,F06,S03,20.1818249672071,77.18340450985343,11,12.16,25,162.0,151.0,12.42,False,False,8.0,13.0,4,1,0.8666666666666667,12.226972834688626,9.93412579774651,14.519819871630741,0.7065822666292949
27,F06,S03,20.1818249672071,77.18340450985343,10,10.33,0,151.0,141.0,13.64,False,False,11.0,10.0,5,1,0.9,10.719084494959622,8.426237458017507,13.011931531901737,0.7065822666292949
28,F06,S03,20.1818249672071,77.18340450985343,11,10.33,25,166.0,155.0,15.0,False,False,10.0,10.0,6,1,0.9333333333333333,9.685459607485301,7.392612570543186,11.978306644427416,0.7065822666292949
29,F06,S03,20.1818249672071,77.18340450985343,11,12.16,0,155.0,144.0,11.84,False,False,11.0,9.0,0,1,0.9666666666666667,11.56856921794505,9.275722181002935,13.861416254887166,0.7065822666292949
30,F06,S03,20.1818249672071,77.18340450985343,12,12.16,25,169.0,157.0,12.91,False,False,11.0,14.0,1,1,1.0,12.582491013658508,10.289643976716393,14.875338050600623,0.7065822666292949
24,F07,S01,20.61165316048828,77.00706630521972,17,13.48,55,182.0,165.0,12.24,False,False,10.0,10.0,2,1,0.8,10.646183119743695,8.35333608280158,12.93903015668581,0.7065822666292949
25,F07,S01,20.61165316048828,77.00706630521972,11,13.48,0,165.0,154.0,11.42,False,False,17.0,12.0,3,1,0.8333333333333334,12.337097357907117,10.044250320965002,14.629944394849232,0.7065822666292949
26,F07,S01,20.61165316048828,77.00706630521972,15,13.48,0,154.0,139.0,10.31,False,False,11.0,12.0,4,1,0.8666666666666667,12.725534741708076,10.43268770476596,15.018381778650191,0.7065822666292949
27,F07,S01,20.61165316048828,77.00706630521972,11,11.46,0,139.0,128.0,11.17,False,False,15.0,11.0,5,1,0.9,10.373324567669638,8.080477530727523,12.666171604611753,0.7065822666292949
28,F07,S01,20.61165316048828,77.00706630521972,11,11.46,55,183.0,172.0,15.01,False,False,11.0,10.0,6,1,0.9333333333333333,9.896591378142993,7.603744341200878,12.189438415085109,0.7065822666292949
29,F07,S01,20.61165316048828,77.00706630521972,14,13.48,0,172.0,158.0,11.72,False,False,11.0,13.0,0,1,0.9666666666666667,13.098502417942333,10.805655381000218,15.391349454884448,0.7065822666292949
30,F07,S01,20.61165316048828,77.00706630521972,9,13.48,0,158.0,149.0,11.05,False,False,14.0,10.0,1,1,1.0,11.513128527066854,9.220281490124739,13.80597556400897,0.7065822666292949
24,F08,S02,20.29122914019804,77.61185289472238,10,10.55,0,54.0,44.0,4.17,False,False,9.0,13.0,2,1,0.8,12.565547021448198,10.272699984506083,14.858394058390314,0.7065822666292949
25,F08,S02,20.29122914019804,77.61185289472238,10,10.55,51,95.0,85.0,8.06,False,False,10.0,10.0,3,1,0.8333333333333334,11.323419828661402,9.030572791719287,13.616266865603517,0.7065822666292949
26,F08,S02,20.29122914019804,77.61185289472238,9,10.55,0,85.0,76.0,7.2,False,False,10.0,13.0,4,1,0.8666666666666667,12.208285190948866,9.91543815400675,14.50113222789098,0.7065822666292949
27,F08,S02,20.29122914019804,77.61185289472238,8,8.97,0,76.0,68.0,7.58,False,False,9.0,8.0,5,1,0.9,9.059129861721132,6.766282824779017,11.351976898663247,0.7065822666292949
28,F08,S02,20.29122914019804,77.61185289472238,10,8.97,0,68.0,58.0,6.47,False,False,8.0,9.0,6,1,0.9333333333333333,8.852749287476493,6.559902250534378,11.145596324418609,0.7065822666292949
29,F08,S02,20.29122914019804,77.61185289472238,13,10.55,0,58.0,45.0,4.27,False,False,10.0,9.0,0,1,0.9666666666666667,11.534724924754505,9.24187788781239,13.82757196169662,0.7065822666292949
30,F08,S02,20.29122914019804,77.61185289472238,9,10.55,51,96.0,87.0,8.25,False,False,13.0,9.0,1,1,1.0,11.44455562130736,9.151708584365245,13.737402658249476,0.7065822666292949
24,F09,S03,20.046665663213616,77.97375551884146,7,6.23,15,118.0,111.0,17.8,False,False,4.0,5.0,2,1,0.8,3.7547921964758566,1.4619451595337418,6.047639233417971,0.7065822666292949
25,F09,S03,20.046665663213616,77.97375551884146,5,6.23,0,111.0,106.0,17.0,False,False,7.0,6.0,3,1,0.8333333333333334,4.6400626768729465,2.3472156399308317,6.932909713815061,0.7065822666292949
26,F09,S03,20.046665663213616,77.97375551884146,7,6.23,15,121.0,114.0,18.28,False,False,5.0,5.0,4,1,0.8666666666666667,4.046819287336013,1.7539722503938981,6.339666324278127,0.7065822666292949
27,F09,S03,20.046665663213616,77.97375551884146,4,5.3,0,114.0,110.0,20.76,False,False,7.0,4.0,5,1,0.9,4.3725240571689525,2.0796770202268378,6.665371094111068,0.7065822666292949
28,F09,S03,20.046665663213616,77.97375551884146,6,5.3,15,125.0,119.0,22.45,False,False,4.0,4.0,6,1,0.9333333333333333,4.422967703628646,2.130120666686531,6.71581474057076,0.7065822666292949
29,F09,S03,20.046665663213616,77.97375551884146,6,6.23,0,119.0,113.0,18.12,False,False,6.0,6.0,0,1,0.9666666666666667,5.39234844887881,3.099501411936695,7.685195485820925,0.7065822666292949
30,F09,S03,20.046665663213616,77.97375551884146,4,6.23,15,128.0,124.0,19.89,False,False,6.0,4.0,1,1,1.0,4.066285902682668,1.773438865740553,6.359132939624782,0.7065822666292949
24,F10,S01,20.456069984217034,77.78517596139301,17,14.93,64,138.0,121.0,8.11,False,False,14.0,16.0,2,1,0.8,13.528524977212731,11.235677940270616,15.821372014154846,0.7065822666292949
25,F10,S01,20.456069984217034,77.78517596139301,15,14.93,0,121.0,106.0,7.1,False,False,17.0,9.0,3,1,0.8333333333333334,12.37840015018456,10.085553113242446,14.671247187126676,0.7065822666292949
26,F10,S01,20.456069984217034,77.78517596139301,15,14.93,0,106.0,91.0,6.1,False,False,15.0,9.0,4,1,0.8666666666666667,11.522984974412523,9.230137937470408,13.815832011354638,0.7065822666292949
27,F10,S01,20.456069984217034,77.78517596139301,10,12.69,0,91.0,81.0,6.38,False,False,15.0,12.0,5,1,0.9,10.13194021544947,7.839093178507355,12.424787252391585,0.7065822666292949
28,F10,S01,20.456069984217034,77.78517596139301,6,12.69,64,145.0,139.0,10.96,False,False,10.0,11.0,6,1,0.9333333333333333,9.774401494044895,7.48155445710278,12.06724853098701,0.7065822666292949
29,F10,S01,20.456069984217034,77.78517596139301,17,14.93,0,139.0,122.0,8.17,False,False,6.0,14.0,0,1,0.9666666666666667,12.616949050396682,10.324102013454567,14.909796087338798,0.7065822666292949
30,F10,S01,20.456069984217034,77.78517596139301,19,14.93,0,122.0,103.0,6.9,False,False,17.0,14.0,1,1,1.0,12.709565104888243,10.416718067946128,15.002412141830359,0.7065822666292949
