day,facility_id,supplier_id,latitude,longitude,demand,expected_demand,replenishment,stock_before_demand,inventory,estimated_days_of_stock,supplier_disrupted,stockout
20,F07,S01,20.11,77.0,19,19.76,27,695,676,34.21,True,False
20,F10,S01,20.05,77.12,16,15.81,26,808,792,50.09,True,False
20,F02,S02,20.5,77.5,12,11.69,19,560,548,46.88,True,False
20,F05,S02,20.55,77.55,20,19.12,40,1149,1129,59.05,True,False
20,F08,S02,20.6,77.5,6,6.38,11,369,363,56.9,True,False
20,F03,S03,20.9,77.9,14,13.6,16,304,290,21.32,True,False
20,F06,S03,20.95,77.95,8,6.8,19,553,545,80.15,True,False
20,F09,S03,21.0,77.9,3,5.1,9,267,264,51.76,True,False
21,F01,S01,20.0,77.0,7,7.44,10,340,333,44.76,True,False
21,F04,S01,20.06,77.05,20,21.08,40,1082,1062,50.38,True,False
21,F07,S01,20.11,77.0,20,18.6,30,706,686,36.88,True,False
21,F10,S01,20.05,77.12,16,14.88,29,821,805,54.1,True,False
21,F02,S02,20.5,77.5,7,8.8,19,567,560,63.64,True,False
21,F05,S02,20.55,77.55,14,14.4,45,1174,1160,80.56,True,False
21,F08,S02,20.6,77.5,3,4.8,11,374,371,77.29,True,False
21,F03,S03,20.9,77.9,14,12.8,15,305,291,22.73,True,False
21,F06,S03,20.95,77.95,7,6.4,13,558,551,86.09,True,False
21,F09,S03,21.0,77.9,3,4.8,8,272,269,56.04,True,False
22,F01,S01,20.0,77.0,6,6.0,23,356,350,58.33,False,False
22,F04,S01,20.06,77.05,16,17.0,82,1144,1128,66.35,False,False
22,F07,S01,20.11,77.0,15,15.0,53,739,724,48.27,False,False
22,F10,S01,20.05,77.12,12,12.0,51,856,844,70.33,False,False
22,F02,S02,20.5,77.5,11,11.0,38,598,587,53.36,False,False
22,F05,S02,20.55,77.55,18,18.0,86,1246,1228,68.22,False,False
22,F08,S02,20.6,77.5,4,6.0,22,393,389,64.83,False,False
22,F03,S03,20.9,77.9,16,16.0,30,321,305,19.06,False,False
22,F06,S03,20.95,77.95,8,8.0,39,590,582,72.75,False,False
22,F09,S03,21.0,77.9,6,6.0,16,285,279,46.5,False,False
23,F01,S01,20.0,77.0,7,6.3,24,374,367,58.25,False,False
23,F04,S01,20.06,77.05,18,17.85,74,1202,1184,66.33,False,False
23,F07,S01,20.11,77.0,14,15.75,55,779,765,48.57,False,False
23,F10,S01,20.05,77.12,14,12.6,52,896,882,70.0,False,False
23,F02,S02,20.5,77.5,11,11.55,25,612,601,52.03,False,False
23,F05,S02,20.55,77.55,18,18.9,85,1313,1295,68.52,False,False
23,F08,S02,20.6,77.5,6,6.3,24,413,407,64.6,False,False
23,F03,S03,20.9,77.9,16,16.8,29,334,318,18.93,False,False
23,F06,S03,20.95,77.95,7,8.4,36,618,611,72.74,False,False
23,F09,S03,21.0,77.9,6,6.3,17,296,290,46.03,False,False
24,F01,S01,20.0,77.0,7,6.6,22,389,382,57.88,False,False
24,F04,S01,20.06,77.05,19,18.7,75,1259,1240,66.31,False,False
24,F07,S01,20.11,77.0,17,16.5,56,821,804,48.73,False,False
24,F10,S01,20.05,77.12,13,13.2,55,937,924,70.0,False,False
24,F02,S02,20.5,77.5,13,12.1,42,643,630,52.07,False,False
24,F05,S02,20.55,77.55,19,19.8,87,1382,1363,68.84,False,False
24,F08,S02,20.6,77.5,7,6.6,21,428,421,63.79,False,False
24,F03,S03,20.9,77.9,17,17.6,30,348,331,18.81,False,False
24,F06,S03,20.95,77.95,10,8.8,40,651,641,72.84,False,False
24,F09,S03,21.0,77.9,6,6.6,10,300,294,44.55,False,False
25,F01,S01,20.0,77.0,5,6.0,22,404,399,66.5,False,False
25,F04,S01,20.06,77.05,17,17.0,74,1314,1297,76.29,False,False
25,F07,S01,20.11,77.0,16,15.0,57,861,845,56.33,False,False
25,F10,S01,20.05,77.12,12,12.0,55,979,967,80.58,False,False
25,F02,S02,20.5,77.5,11,11.0,38,668,657,59.73,False,False
25,F05,S02,20.55,77.55,18,18.0,83,1446,1428,79.33,False,False
25,F08,S02,20.6,77.5,5,6.0,22,443,438,73.0,False,False
25,F03,S03,20.9,77.9,15,16.0,29,360,345,21.56,False,False
25,F06,S03,20.95,77.95,6,8.0,37,678,672,84.0,False,False
25,F09,S03,21.0,77.9,7,6.0,16,310,303,50.5,False,False
26,F01,S01,20.0,77.0,5,5.7,22,421,416,72.98,False,False
26,F04,S01,20.06,77.05,16,16.15,73,1370,1354,83.84,False,False
26,F07,S01,20.11,77.0,14,14.25,51,896,882,61.89,False,False
26,F10,S01,20.05,77.12,12,11.4,52,1019,1007,88.33,False,False
26,F02,S02,20.5,77.5,11,10.45,41,698,687,65.74,False,False
26,F05,S02,20.55,77.55,16,17.1,77,1505,1489,87.08,False,False
26,F08,S02,20.6,77.5,7,5.7,21,459,452,79.3,False,False
26,F03,S03,20.9,77.9,14,15.2,29,374,360,23.68,False,False
26,F06,S03,20.95,77.95,7,7.6,38,710,703,92.5,False,False
26,F09,S03,21.0,77.9,7,5.7,17,320,313,54.91,False,False
27,F01,S01,20.0,77.0,6,5.1,23,439,433,84.9,False,False
27,F04,S01,20.06,77.05,15,14.45,50,1404,1389,96.12,False,False
27,F07,S01,20.11,77.0,13,12.75,35,917,904,70.9,False,False
27,F10,S01,20.05,77.12,10,10.2,58,1065,1055,103.43,False,False
27,F02,S02,20.5,77.5,11,9.35,40,727,716,76.58,False,False
27,F05,S02,20.55,77.55,16,15.3,79,1568,1552,101.44,False,False
27,F08,S02,20.6,77.5,4,5.1,21,473,469,91.96,False,False
27,F03,S03,20.9,77.9,13,13.6,18,378,365,26.84,False,False
27,F06,S03,20.95,77.95,8,6.8,38,741,733,107.79,False,False
27,F09,S03,21.0,77.9,5,5.1,18,331,326,63.92,False,False
28,F01,S01,20.0,77.0,4,4.8,14,447,443,92.29,False,False
28,F04,S01,20.06,77.05,13,13.6,76,1465,1452,106.76,False,False
28,F07,S01,20.11,77.0,11,12.0,51,955,944,78.67,False,False
28,F10,S01,20.05,77.12,10,9.6,59,1114,1104,115.0,False,False
28,F02,S02,20.5,77.5,8,8.8,41,757,749,85.11,False,False
28,F05,S02,20.55,77.55,15,14.4,86,1638,1623,112.71,False,False
28,F08,S02,20.6,77.5,5,4.8,24,493,488,101.67,False,False
28,F03,S03,20.9,77.9,13,12.8,27,392,379,29.61,False,False
28,F06,S03,20.95,77.95,7,6.4,37,770,763,119.22,False,False
28,F09,S03,21.0,77.9,5,4.8,16,342,337,70.21,False,False
29,F01,S01,20.0,77.0,6,6.0,24,467,461,76.83,False,False
29,F04,S01,20.06,77.05,18,17.0,83,1535,1517,89.24,False,False
29,F07,S01,20.11,77.0,14,15.0,55,999,985,65.67,False,False
29,F10,S01,20.05,77.12,12,12.0,55,1159,1147,95.58,False,False
29,F02,S02,20.5,77.5,12,11.0,42,791,779,70.82,False,False
29,F05,S02,20.55,77.55,19,18.0,78,1701,1682,93.44,False,False
29,F08,S02,20.6,77.5,5,6.0,23,511,506,84.33,False,False
29,F03,S03,20.9,77.9,17,16.0,20,399,382,23.88,False,False
29,F06,S03,20.95,77.95,10,8.0,36,799,789,98.62,False,False
29,F09,S03,21.0,77.9,6,6.0,16,353,347,57.83,False,False
30,F01,S01,20.0,77.0,9,6.3,23,484,475,75.4,False,False
30,F04,S01,20.06,77.05,19,17.85,84,1601,1582,88.63,False,False
30,F07,S01,20.11,77.0,16,15.75,55,1040,1024,65.02,False,False
30,F10,S01,20.05,77.12,13,12.6,53,1200,1187,94.21,False,False
30,F02,S02,20.5,77.5,10,11.55,44,823,813,70.39,False,False
30,F05,S02,20.55,77.55,18,18.9,87,1769,1751,92.65,False,False
30,F08,S02,20.6,77.5,6,6.3,21,527,521,82.7,False,False
30,F03,S03,20.9,77.9,16,16.8,29,411,395,23.51,False,False
30,F06,S03,20.95,77.95,9,8.4,37,826,817,97.26,False,False
30,F09,S03,21.0,77.9,6,6.3,17,364,358,56.83,False,False
